Household ID,Sampling data,Volume [l],Waste total mass [kg],Organics [kg],Paper & Cardboard [kg],Plastics [kg],Textiles [kg],Hygiene Products [kg],Metals [kg],Glass [kg],Others [kg],Stones [kg],Comments
15.8,15.11.2023,17,16.478,1.145,0.035,0.235,0.016,0,0,0,0.05,14.193,"Total mass and stones measured with big scale / Helper thinks they wanted to impress us or forgot to collect on the last day and collected waste else where, would explain why it differs so much from other days"
16.1,09.11.2023,9,1.493,0.55,0.054,0.531,-0.002,0,-0.003,0,0.024,0.248,
16.2,10.11.2023,8,1.028,0.25,0.043,0.258,0.289,0,0,0,0.08,0.075,
16.3,11.11.2023,10,1.604,0.861,0.007,0.266,0,0,0,0.004,0.043,0.354,
16.4,12.11.2023,9,1.32,0.605,0.049,0.227,0,0.004,0.002,0,0.04,0.317,
16.5,13.11.2023,17,1.923,0.781,0.035,0.191,0.017,0,0.001,0.006,0.087,0.775,
16.6,14.11.2023,10,1.943,0.974,0.042,0.157,0.014,0,0.021,0.001,0.057,0.646,
16.7,15.11.2023,17,1.385,0.468,0.064,0.405,0.017,0,-0.007,0,0.038,0.348,
16.8,16.11.2023,17,1.29,0.708,0.035,0.219,0.012,0,0,0,0.344,0.077,
17.1,09.11.2023,4,0.364,0.077,0.005,0.245,0,0,0,0,0,0,
17.2,10.11.2023,17,1.523,0.273,0.033,0.33,0,0,0,0,0.722,0.071,
17.3,11.11.2023,11,2.518,0.146,0.231,0.523,0,0,0,0,0.165,1.359,
17.4,12.11.2023,17,0.809,0.107,0.092,0.167,0.094,0,0,0,0.419,0,
17.5,13.11.2023,7,0.906,0.429,0.001,0.381,0,0,0,0,0.007,0.064,In categorie Plastic mainly small plastic bags
17.6,14.11.2023,17,0.897,0.578,0.047,0.163,0,0,0,0,0,0.093,
17.7,15.11.2023,17,0.905,0.699,-0.004,0.158,0,0,0,0,-0.004,0,
17.8,16.11.2023,17,1.726,0.802,0.03,0.138,0.007,0,0,0,0.051,0.66,
18.1,09.11.2023,6,0.72,0.034,0.011,0.591,0.021,0,0,0,0.007,0,
18.2,10.11.2023,10,2.279,0.245,0.023,0.471,0.009,0,0,0,0.177,1.293,
18.3,11.11.2023,10,3.959,0.554,0.031,0.367,0.16,0,0,0,0.129,2.634,
18.4,12.11.2023,10,4.978,0.498,0.035,0.314,0.004,0,0,0,0.009,4.085,Total mass was measured with big scale
18.5,13.11.2023,17,3.978,0.242,0.006,0.61,0.002,0,0,0,0.061,2.871,Total mass was measured with big scale
18.6,14.11.2023,17,2.671,0.358,0.015,0.492,0,0,0,0,1.703,0.097,In categorie others there is a lot of ash. Total mass was measured with big scale
18.7,15.11.2023,17,3.336,0.897,0.215,0.353,0.021,0.017,0,0,0.184,1.407,
18.8,16.11.2023,17,3.978,0.607,0.048,0.334,0.025,0,0,0,0.163,2.507,Total mass was measured with big scale
19.1,09.11.2023,6,0.337,0.049,0.073,0.191,0.009,0,0,0,0.043,0,
19.2,10.11.2023,5,0.967,0.701,0.083,0.078,0.012,0,0,0.047,0.034,0,
19.3,11.11.2023,4,0.471,0.007,0.066,0.309,0,0,0,0,0.057,0,
19.4,12.11.2023,17,8.978,1.212,0.015,0.166,0.005,0,0,0,0.011,7.693,Total mass and categorie stones was measured with big scale
19.5,13.11.2023,10,2.749,1.601,0.059,0.104,0.02,0,-0.001,0,0.073,0.76,
19.6,14.11.2023,7,1.871,1.687,0.005,0.114,0,0,0,0,0.011,0,
19.7,15.11.2023,9,1.194,0.568,0,0.014,0,0,0.017,0,0.027,0.523,
19.8,16.11.2023,7,1.978,1.296,0.014,0.012,0,0,0,0,0.002,0.582,
20.1,,,0,0,0,0,0,0,0,0,0,0,
20.2,,,0,0,0,0,0,0,0,0,0,0,
20.3,,,0,0,0,0,0,0,0,0,0,0,
20.4,,,0,0,0,0,0,0,0,0,0,0,
20.5,,,0,0,0,0,0,0,0,0,0,0,
20.6,,,0,0,0,0,0,0,0,0,0,0,
20.7,,,0,0,0,0,0,0,0,0,0,0,
20.8,,,0,0,0,0,0,0,0,0,0,0,
21.1,10.11.2023,7,2.844,0.386,0.002,0.049,0,0,0.022,0.275,2.529,0.052,
21.2,11.11.2023,8,1.282,0.299,0.014,0.112,0.018,-0.001,0.169,0.006,0.014,0.653,
21.3,12.11.2023,9,3.857,0.554,0.033,0.034,0,0,0,0.003,3.196,-0.307,
21.4,13.11.2023,17,3.464,0.917,0.009,0.111,0.132,0,0.002,0,0.06,2.19,
21.5,14.11.2023,8,3.309,0.636,0.014,0.055,-0.003,0,0,0,0.02,2.516,
21.6,15.11.2023,9,2.622,0.612,0.009,0.01,0,0,0,0,1.525,0.383,
21.7,16.11.2023,10,3.473,0.442,0,0.038,0.018,0,0,0,0,2.927,
21.8,17.11.2023,10,2.612,0.703,0.003,0.083,0.003,0,0,0,0,1.8,
22.1,09.11.2023,0,0,0,0,0,0,0,0,0,0,0,The HH did not fill the bag
22.2,10.11.2023,11,2.79,0.646,0.004,-0.091,0.001,0,0.066,0,1.025,0.933,
22.3,11.11.2023,9,1.628,1.364,0,0.001,0,0,0,0.023,0,0.209,
22.4,12.11.2023,6,2.668,0.419,0,0.021,0.005,0,0.021,0,0,2.149,
22.5,13.11.2023,8,2.932,0.495,0.002,0.061,0,0,0.021,0,0.125,2.203,
22.6,14.11.2023,6,1.755,0.428,0,0.037,0,0,0,0,0,1.278,
22.7,15.11.2023,6,1.575,0.314,0,0.095,0,0,0.044,0,0,1.102,
22.8,16.11.2023,9,2.003,0.515,0,0.047,0,0,0.035,0.001,0.098,1.255,
23.1,09.11.2023,8,1.315,0.467,0.102,0.294,0.042,0,0.025,0,0.04,0.323,
23.2,10.11.2023,10,1.399,0.639,0.042,0.105,0.001,0,0,0,0.041,0.533,
23.3,11.11.2023,7,2.184,0.372,0.126,0.067,0,0,0,0,0.012,1.533,
23.4,12.11.2023,10,1.627,0.515,0.087,0.114,0.024,0,0,0,-0.001,0.81,
23.5,13.11.2023,5,1.293,0.368,0.006,0.2,0.003,-0.006,0,0,0.01,0.672,
23.6,14.11.2023,3,0.541,0.1,0.021,0.024,0.018,0,0,0,0.005,0.354,
23.7,15.11.2023,7,0.603,0.467,0.03,0.046,0.01,0,0,0,-0.002,0,
23.8,16.11.2023,7,1.124,0.448,0.041,0.117,0.053,0,0.033,0.005,0,0.356,
24.1,09.11.2023,27,8,1.078,0.004,0.42,0.026,0,0,0,2.496,3.762,In catogorie Others there is a lot ash
24.2,10.11.2023,51,5.463,2.44,0.41,0.628,0.027,0,0,0,0.145,1.817,
24.3,11.11.2023,10,3.759,2.756,0.121,0.15,0.032,0.003,0.009,0.012,0.065,0.539,
24.4,12.11.2023,44,4.275,2.66,0.003,0.169,0.565,0,0,0,0.013,0.736,Organics was slightly wet
24.5,13.11.2023,35,4.902,1.879,0.03,0.184,0.004,0,0.015,0,0.072,2.359,
24.6,14.11.2023,27,3.613,2.002,0.028,0.216,0.007,0,0.004,0,0.008,1.25,
24.7,15.11.2023,34,1.613,1.591,-0.003,0.045,0.001,0,0.002,0,0.006,0,
24.8,16.11.2023,34,1.762,1.457,0.023,0.061,0.005,0,0,0,0.007,0.2,
25.1,09.11.2023,0,0,0,0,0,0,0,0,0,0,0,
25.2,10.11.2023,4,0.438,0.346,-0.003,0.049,0.004,0,-0.005,0,0.002,0,
25.3,11.11.2023,2,1.324,1.211,0,0.073,0,0,0,0,0.01,0,
25.4,12.11.2023,7,0.627,0.291,0.019,0.241,0.01,0,0,0,0.012,0,
25.5,13.11.2023,4,0.75,0.12,0.002,0.048,0,0,-0.005,0,0.016,0.477,
25.6,14.11.2023,2,0.327,0.239,0.012,0.064,0,0,0,0,0,0,
25.7,15.11.2023,2,0.338,0.312,0,0.026,0,0,0,0,-0.002,0,
25.8,16.11.2023,1,0.222,0.097,-0.002,0.028,0,0,0,0,0.099,0,
26.1,09.11.2023,3,0.101,0,0.002,0.075,0,0,0.006,0,0.031,0,
26.2,10.11.2023,5,3.53,0.138,0.012,0.033,0,0,0.005,0,3.169,0.144,In categorie Ohters is a lot of ash
26.3,11.11.2023,17,1.173,0.499,0.008,0.467,0.015,0,0.016,0,0.071,0.094,
26.4,12.11.2023,8,3.461,0.808,0.018,0.137,0.001,0.002,0,0,0.041,2.566,
26.5,13.11.2023,8,3.538,1.554,0.013,0.163,0.183,0,0.113,0.073,0.088,1.308,
26.6,14.11.2023,9,2.403,0.06,0.012,0.331,0,0,0,0,1.985,0,In categorie Others is a lot of ash
26.7,15.11.2023,10,2.282,0.23,0.002,0.624,0.269,0,-0.002,0.286,1.075,0,In categorie Others is a lot of ash
26.8,16.11.2023,17,2.799,0.158,0.02,0.526,0.018,0,0,0,2.104,0,In categorie Others is a lot of ash
27.1,,,0,0,0,0,0,0,0,0,0,0,
27.2,,,0,0,0,0,0,0,0,0,0,0,
27.3,,,0,0,0,0,0,0,0,0,0,0,
27.4,,,0,0,0,0,0,0,0,0,0,0,
27.5,,,0,0,0,0,0,0,0,0,0,0,
27.6,,,0,0,0,0,0,0,0,0,0,0,
27.7,,,0,0,0,0,0,0,0,0,0,0,
27.8,,,0,0,0,0,0,0,0,0,0,0,
28.1,09.11.2023,11,2.723,1.347,0,0.029,0,0,0,0.001,0,1.266,
28.2,10.11.2023,10,1.338,0.79,-0.004,0.051,0,0,0,0,0.073,0.359,
28.3,11.11.2023,10,2.403,0.943,0,0.007,0,0,0,0,0.048,1.337,
28.4,12.11.2023,10,2.379,1.179,0.011,0.165,0.032,0,0.011,0.028,0.011,0.873,
28.5,13.11.2023,10,1.247,0.859,0.011,0.06,0.008,0,0,0,0.008,0.275,
28.6,14.11.2023,8,1.027,0.649,0,0.158,0.199,0,0,-0.001,-0.004,0,
28.7,15.11.2023,10,1.28,0.704,0,0.026,0,0,0,0,0.003,0.54,
28.8,16.11.2023,10,1.172,0.428,0,0.208,0.243,0,0,0,0.162,0.088,
29.1,,,0,0,0,0,0,0,0,0,0,0,
29.2,,,0,0,0,0,0,0,0,0,0,0,
29.3,,,0,0,0,0,0,0,0,0,0,0,
29.4,,,0,0,0,0,0,0,0,0,0,0,
29.5,,,0,0,0,0,0,0,0,0,0,0,
29.6,,,0,0,0,0,0,0,0,0,0,0,
29.7,,,0,0,0,0,0,0,0,0,0,0,
29.8,,,0,0,0,0,0,0,0,0,0,0,
30.1,,,0,0,0,0,0,0,0,0,0,0,
